utc_datetime,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,updated_at,price_increase
2023-07-04 09:59:00,1970-01-01 00:28:08.464740,31012.68,31020.67,31012.67,31016.91,16.44634,1970-01-01 00:28:08.464799999,510120.2424918,488,10.1988,316331.4149622,0,2023-07-04 11:37:44.037541,1
2023-07-04 09:58:00,1970-01-01 00:28:08.464680,31012.68,31012.68,31012.67,31012.68,6.32519,1970-01-01 00:28:08.464739999,196161.0709925,323,4.08352,126640.8990336,0,2023-07-04 11:37:44.037541,0
2023-07-04 09:57:00,1970-01-01 00:28:08.464620,31008.0,31012.68,31007.99,31012.68,6.7327,1970-01-01 00:28:08.464679999,208788.0489394,270,4.61283,143046.8441153,0,2023-07-04 11:37:44.037541,1
2023-07-04 09:56:00,1970-01-01 00:28:08.464560,31000.48,31008.47,31000.47,31008.0,20.59649,1970-01-01 00:28:08.464619999,638576.028972,556,8.83428,273882.2080609,0,2023-07-04 11:37:44.037541,1
2023-07-04 09:55:00,1970-01-01 00:28:08.464500,31009.99,31010.0,31000.47,31000.48,24.7494,1970-01-01 00:28:08.464559999,767366.6766757,497,1.00002,31002.4232569,0,2023-07-04 11:37:44.037541,0
2023-07-04 09:54:00,1970-01-01 00:28:08.464440,31003.99,31010.0,31003.99,31010.0,7.47871,1970-01-01 00:28:08.464499999,231899.3477036,407,5.96075,184832.1842889,0,2023-07-04 11:37:44.037541,1
2023-07-04 09:53:00,1970-01-01 00:28:08.464380,31004.0,31004.0,31003.99,31004.0,5.76726,1970-01-01 00:28:08.464439999,178808.1062732,300,3.49058,108221.94232,0,2023-07-04 11:37:44.037541,0
2023-07-04 09:52:00,1970-01-01 00:28:08.464320,31003.99,31004.0,31003.99,31003.99,6.90595,1970-01-01 00:28:08.464379999,214112.0478198,255,4.30793,133563.06172,0,2023-07-04 11:37:44.037541,0
2023-07-04 09:51:00,1970-01-01 00:28:08.464260,30998.06,31004.0,30998.06,31004.0,11.47892,1970-01-01 00:28:08.464319999,355847.9306381,436,8.07851,250436.7085205,0,2023-07-04 11:37:44.037541,1
2023-07-04 09:50:00,1970-01-01 00:28:08.464200,30993.11,30999.61,30993.1,30998.07,15.78882,1970-01-01 00:28:08.464259999,489425.1435697,440,4.3215,133955.1030699,0,2023-07-04 11:37:44.037541,1
